Trevor,Teleport Part,8:07:50
Trevor,Teleport Part,8:07:51
Haedong,Teleport Part,8:25:38
Haedong,Teleport Part,8:25:39
Trevor,Teleport Part,8:27:10
Haedong,Teleport Part,8:28:28
Trevor,Teleport Part,8:28:36
Haedong,Teleport Part,8:28:48
Haedong,Teleport Part,8:28:52
Haedong,Teleport Part,8:30:10
Trevor,Teleport Part,8:30:29
Trevor,Teleport Part,8:30:30
Haedong,Teleport Part,8:32:08
Trevor,Teleport Part,8:34:38
Haedong,Spawn Pieces,8:35:02
Haedong,Spawn Pieces,8:35:02
Trevor,Teleport Part,8:47:17
Trevor,Teleport Part,8:47:17
Trevor,Teleport Part,8:47:17
Trevor,Teleport Part,8:47:32
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:41
Haedong,Teleport Part,8:47:45
Trevor,Teleport Part,8:47:54
Trevor,Teleport Part,8:47:58
Haedong,Teleport Part,8:49:18
Trevor,Teleport Part,8:49:27
Trevor,Teleport Part,8:49:28
Trevor,Teleport Part,8:49:28
Haedong,Teleport Part,8:49:37
Trevor,Teleport Part,8:49:51
Trevor,Spawn Pieces,8:51:13
Trevor,Spawn Pieces,8:51:13
Trevor,Teleport Part,8:51:27
Trevor,Teleport Part,8:51:27
Trevor,Teleport Part,8:51:28
Trevor,Teleport Part,8:51:28
Trevor,Teleport Part,8:51:29
Trevor,Teleport Part,8:51:39
Trevor,Teleport Part,8:51:40
Trevor,Teleport Part,8:51:40
Trevor,Teleport Part,8:54:46
Haedong,Teleport Part,8:54:51
