Index,Player,Activity,Time,Collaboration
0,Trevor,Teleport Part,8:07:50,1
1,Trevor,Teleport Part,8:07:51,1
2,Haedong,Teleport Part,8:25:38,1
3,Haedong,Teleport Part,8:25:39,1
4,Trevor,Teleport Part,8:27:10,1
5,Haedong,Teleport Part,8:28:28,2
6,Trevor,Teleport Part,8:28:36,3
7,Haedong,Teleport Part,8:28:48,3
8,Haedong,Teleport Part,8:28:52,3
9,Haedong,Teleport Part,8:30:10,4
10,Trevor,Teleport Part,8:30:29,4
11,Trevor,Teleport Part,8:30:30,4
12,Haedong,Teleport Part,8:32:08,4
13,Trevor,Teleport Part,8:34:38,5
14,Haedong,Spawn Pieces,8:35:02,5
15,Haedong,Spawn Pieces,8:35:02,5
16,Trevor,Teleport Part,8:47:17,5
17,Trevor,Teleport Part,8:47:17,5
18,Trevor,Teleport Part,8:47:17,5
19,Trevor,Teleport Part,8:47:32,5
20,Trevor,Spawn Pieces,8:47:40,5
21,Trevor,Spawn Pieces,8:47:40,5
22,Trevor,Spawn Pieces,8:47:40,5
23,Trevor,Spawn Pieces,8:47:40,5
24,Trevor,Spawn Pieces,8:47:40,5
25,Trevor,Spawn Pieces,8:47:40,5
26,Trevor,Spawn Pieces,8:47:41,6
27,Haedong,Teleport Part,8:47:45,7
28,Trevor,Teleport Part,8:47:54,7
29,Trevor,Teleport Part,8:47:58,7
30,Haedong,Teleport Part,8:49:18,8
31,Trevor,Teleport Part,8:49:27,8
32,Trevor,Teleport Part,8:49:28,8
33,Trevor,Teleport Part,8:49:28,9
34,Haedong,Teleport Part,8:49:37,10
35,Trevor,Teleport Part,8:49:51,10
36,Trevor,Spawn Pieces,8:51:13,10
37,Trevor,Spawn Pieces,8:51:13,10
38,Trevor,Teleport Part,8:51:27,10
39,Trevor,Teleport Part,8:51:27,10
40,Trevor,Teleport Part,8:51:28,10
41,Trevor,Teleport Part,8:51:28,10
42,Trevor,Teleport Part,8:51:29,10
43,Trevor,Teleport Part,8:51:39,10
44,Trevor,Teleport Part,8:51:40,10
45,Trevor,Teleport Part,8:51:40,10
46,Trevor,Teleport Part,8:54:46,11
47,Haedong,Teleport Part,8:54:51,11
